dataset,source_table,experiment_group,model_or_config,aggregation,seed_or_run,class_name,precision_pct,precision_sd_pct,recall_pct,recall_sd_pct,f1_score_pct,f1_score_sd_pct,map50_pct,map50_sd_pct,map75_pct,map75_sd_pct,map50_95_pct,map50_95_sd_pct,notes
PVEL-AD,Table 7 / Table 9 / Table 10 support,Sequential component ablation,Baseline,mean_sd_over_3_runs,,black_core,92.66,1.91,79.28,1.12,85.43,0.32,83.16,0.63,68.94,1.12,69.59,0.6,Class-wise Mean ± sample SD from the supplied ablation statistics.
PVEL-AD,Table 7 / Table 9 / Table 10 support,Sequential component ablation,Baseline,mean_sd_over_3_runs,,crack,57.53,3.05,41.62,1.36,48.25,0.69,48.83,3.32,34.09,3.42,31.25,2.86,Class-wise Mean ± sample SD from the supplied ablation statistics.
PVEL-AD,Table 7 / Table 9 / Table 10 support,Sequential component ablation,Baseline,mean_sd_over_3_runs,,finger,90.97,1.56,80.67,0.5,85.51,0.78,90.27,0.75,57.51,4.06,52.71,0.59,Class-wise Mean ± sample SD from the supplied ablation statistics.
PVEL-AD,Table 7 / Table 9 / Table 10 support,Sequential component ablation,Baseline,mean_sd_over_3_runs,,horizontal_dislocation,97.83,2.85,100,0,98.89,1.47,99.5,0,78.34,3.35,68.2,0.56,Class-wise Mean ± sample SD from the supplied ablation statistics.
PVEL-AD,Table 7 / Table 9 / Table 10 support,Sequential component ablation,Baseline,mean_sd_over_3_runs,,short_circuit,90.54,2.93,97.75,1.13,93.98,1.05,96.5,2.07,96.5,2.07,76.57,1.75,Class-wise Mean ± sample SD from the supplied ablation statistics.
PVEL-AD,Table 7 / Table 9 / Table 10 support,Sequential component ablation,Baseline,mean_sd_over_3_runs,,star_crack,72.05,3.25,66.67,4.17,69.2,2.85,66,3.02,44.89,7.24,42.14,2.35,Class-wise Mean ± sample SD from the supplied ablation statistics.
PVEL-AD,Table 7 / Table 9 / Table 10 support,Sequential component ablation,Baseline,mean_sd_over_3_runs,,thick_line,82.75,3.19,45.2,0.85,58.44,0.8,68.83,3.75,35.41,4.09,36.27,2.34,Class-wise Mean ± sample SD from the supplied ablation statistics.
PVEL-AD,Table 7 / Table 9 / Table 10 support,Sequential component ablation,Baseline,mean_sd_over_3_runs,,vertical_dislocation,71.45,5.56,89.33,4.62,79.29,4.09,89.34,2.86,87.32,4.14,63.62,4.89,Class-wise Mean ± sample SD from the supplied ablation statistics.
PVEL-AD,Table 7 / Table 9 / Table 10 support,Sequential component ablation,GCS Backbone,mean_sd_over_3_runs,,black_core,90.68,1.72,81.26,3.07,85.67,1.17,84.22,3.49,71.21,4.3,70.72,3.41,Class-wise Mean ± sample SD from the supplied ablation statistics.
PVEL-AD,Table 7 / Table 9 / Table 10 support,Sequential component ablation,GCS Backbone,mean_sd_over_3_runs,,crack,61.52,4.11,45.82,1.71,52.42,0.66,49.38,1.16,35.65,0.18,31.88,0.36,Class-wise Mean ± sample SD from the supplied ablation statistics.
PVEL-AD,Table 7 / Table 9 / Table 10 support,Sequential component ablation,GCS Backbone,mean_sd_over_3_runs,,finger,90.67,0.68,82.93,0.79,86.63,0.12,89.96,0.26,56.63,1.13,53.06,0.67,Class-wise Mean ± sample SD from the supplied ablation statistics.
PVEL-AD,Table 7 / Table 9 / Table 10 support,Sequential component ablation,GCS Backbone,mean_sd_over_3_runs,,horizontal_dislocation,96.09,3.35,100,0,97.98,1.76,99.45,0.07,82.38,0.76,69.43,0.33,Class-wise Mean ± sample SD from the supplied ablation statistics.
PVEL-AD,Table 7 / Table 9 / Table 10 support,Sequential component ablation,GCS Backbone,mean_sd_over_3_runs,,short_circuit,94.17,6.74,97.75,1.13,95.84,3.49,97.5,0.97,97.49,0.97,77.59,1,Class-wise Mean ± sample SD from the supplied ablation statistics.
PVEL-AD,Table 7 / Table 9 / Table 10 support,Sequential component ablation,GCS Backbone,mean_sd_over_3_runs,,star_crack,72.17,3.72,66.67,0,69.28,1.73,67.25,1.77,53.48,3.58,44.2,2.62,Class-wise Mean ± sample SD from the supplied ablation statistics.
PVEL-AD,Table 7 / Table 9 / Table 10 support,Sequential component ablation,GCS Backbone,mean_sd_over_3_runs,,thick_line,84.34,1.8,51.81,6.4,64.01,4.75,68.87,2.41,36.97,2.03,36.91,0.48,Class-wise Mean ± sample SD from the supplied ablation statistics.
PVEL-AD,Table 7 / Table 9 / Table 10 support,Sequential component ablation,GCS Backbone,mean_sd_over_3_runs,,vertical_dislocation,77.69,11.24,89.33,4.62,82.68,6.32,90.34,3.07,88.56,2.37,66.52,0.96,Class-wise Mean ± sample SD from the supplied ablation statistics.
PVEL-AD,Table 7 / Table 9 / Table 10 support,Sequential component ablation,MSLA-AIFI,mean_sd_over_3_runs,,black_core,92.36,1.91,80.72,3.47,86.13,2.71,84.91,4.69,71.06,3.27,70.56,2.66,Class-wise Mean ± sample SD from the supplied ablation statistics.
PVEL-AD,Table 7 / Table 9 / Table 10 support,Sequential component ablation,MSLA-AIFI,mean_sd_over_3_runs,,crack,52.41,3.12,42.83,4.98,47.02,3.27,48.45,1.52,36.38,1.59,32,1.21,Class-wise Mean ± sample SD from the supplied ablation statistics.
PVEL-AD,Table 7 / Table 9 / Table 10 support,Sequential component ablation,MSLA-AIFI,mean_sd_over_3_runs,,finger,90.28,0.8,81.45,1.41,85.63,0.6,89.93,0.41,56.9,1.16,52.71,0.26,Class-wise Mean ± sample SD from the supplied ablation statistics.
PVEL-AD,Table 7 / Table 9 / Table 10 support,Sequential component ablation,MSLA-AIFI,mean_sd_over_3_runs,,horizontal_dislocation,99.17,0.34,100,0,99.58,0.17,99.5,0,82.76,1.83,69.29,0.82,Class-wise Mean ± sample SD from the supplied ablation statistics.
PVEL-AD,Table 7 / Table 9 / Table 10 support,Sequential component ablation,MSLA-AIFI,mean_sd_over_3_runs,,short_circuit,94.36,6.84,97.75,0,95.94,3.61,96.91,1.49,96.86,1.46,77.62,1.6,Class-wise Mean ± sample SD from the supplied ablation statistics.
PVEL-AD,Table 7 / Table 9 / Table 10 support,Sequential component ablation,MSLA-AIFI,mean_sd_over_3_runs,,star_crack,62.72,6.45,65.28,2.41,63.92,4.38,61.86,2.97,48.34,4.52,40.1,3.31,Class-wise Mean ± sample SD from the supplied ablation statistics.
PVEL-AD,Table 7 / Table 9 / Table 10 support,Sequential component ablation,MSLA-AIFI,mean_sd_over_3_runs,,thick_line,84.45,7.12,55.63,4.78,66.89,3.73,72.18,1.14,37.06,0.73,37.71,0.12,Class-wise Mean ± sample SD from the supplied ablation statistics.
PVEL-AD,Table 7 / Table 9 / Table 10 support,Sequential component ablation,MSLA-AIFI,mean_sd_over_3_runs,,vertical_dislocation,57.68,8.8,89.33,6.11,69.55,4.79,89.35,2.96,87.31,1.39,65.23,3.15,Class-wise Mean ± sample SD from the supplied ablation statistics.
PVEL-AD,Table 7 / Table 9 / Table 10 support,Sequential component ablation,MPMF-Net,mean_sd_over_3_runs,,black_core,86.6,3.25,80,2.16,83.17,2.65,83.83,1.74,70.19,0.13,69.71,0.26,Class-wise Mean ± sample SD from the supplied ablation statistics.
